variable,split,subset_1
educ_information_reveived_future,all,i.hh_age
educ_information_reveived_future,all,hoh_gender
hh_exposed_to_hazards,all,region
hh_exposed_to_hazards,all,hh_situation
hh_exposed_to_hazards,all,i.hh_age
hh_exposed_to_hazards,all,hoh_gender
exposed_to_flood_yes,all,region
exposed_to_flood_yes,all,hh_situation
exposed_to_flood_yes,all,i.hh_age
exposed_to_flood_yes,all,hoh_gender
flood_exposed_sector,all,region
flood_exposed_sector,all,hh_situation
flood_exposed_sector,all,i.hh_age
flood_exposed_sector,all,hoh_gender
flood_impacted_access_to_services,all,region
flood_impacted_access_to_services,all,hh_situation
flood_impacted_access_to_services,all,i.hh_age
flood_impacted_access_to_services,all,hoh_gender
exposed_to_drought_yes,all,region
exposed_to_drought_yes,all,hh_situation
exposed_to_drought_yes,all,i.hh_age
exposed_to_drought_yes,all,hoh_gender
drought_exposed_sector,all,region
drought_exposed_sector,all,hh_situation
drought_exposed_sector,all,i.hh_age
drought_exposed_sector,all,hoh_gender
drought_impacted_access_to_services,all,region
drought_impacted_access_to_services,all,hh_situation
drought_impacted_access_to_services,all,i.hh_age
drought_impacted_access_to_services,all,hoh_gender
exposed_to_landslide_yes,all,region
exposed_to_landslide_yes,all,hh_situation
exposed_to_landslide_yes,all,i.hh_age
exposed_to_landslide_yes,all,hoh_gender
landslide_exposed_sector,all,region
landslide_exposed_sector,all,hh_situation
landslide_exposed_sector,all,i.hh_age
landslide_exposed_sector,all,hoh_gender
landslide_impacted_access_to_services,all,region
landslide_impacted_access_to_services,all,hh_situation
landslide_impacted_access_to_services,all,i.hh_age
landslide_impacted_access_to_services,all,hoh_gender
exposed_to_heatwave_yes,all,region
exposed_to_heatwave_yes,all,hh_situation
exposed_to_heatwave_yes,all,i.hh_age
exposed_to_heatwave_yes,all,hoh_gender
heatwave_exposed_sector,all,region
heatwave_exposed_sector,all,hh_situation
heatwave_exposed_sector,all,i.hh_age
heatwave_exposed_sector,all,hoh_gender
heatwave_impacted_access_to_services,all,region
heatwave_impacted_access_to_services,all,hh_situation
heatwave_impacted_access_to_services,all,i.hh_age
heatwave_impacted_access_to_services,all,hoh_gender
exposed_to_deforestation_yes,all,region
exposed_to_deforestation_yes,all,hh_situation
exposed_to_deforestation_yes,all,i.hh_age
exposed_to_deforestation_yes,all,hoh_gender
deforestation_exposed_sector,all,region
deforestation_exposed_sector,all,hh_situation
deforestation_exposed_sector,all,i.hh_age
deforestation_exposed_sector,all,hoh_gender
deforestation_impacted_access_to_services,all,region
deforestation_impacted_access_to_services,all,hh_situation
deforestation_impacted_access_to_services,all,i.hh_age
deforestation_impacted_access_to_services,all,hoh_gender
exposed_to_water_scarcity_yes,all,region
exposed_to_water_scarcity_yes,all,hh_situation
exposed_to_water_scarcity_yes,all,i.hh_age
exposed_to_water_scarcity_yes,all,hoh_gender
water_scarcity_exposed_sector,all,region
water_scarcity_exposed_sector,all,hh_situation
water_scarcity_exposed_sector,all,i.hh_age
water_scarcity_exposed_sector,all,hoh_gender
water_scarcity_impacted_access_to_services,all,region
water_scarcity_impacted_access_to_services,all,hh_situation
water_scarcity_impacted_access_to_services,all,i.hh_age
water_scarcity_impacted_access_to_services,all,hoh_gender
exposed_to_earthquacke_yes,all,region
exposed_to_earthquacke_yes,all,hh_situation
exposed_to_earthquacke_yes,all,i.hh_age
exposed_to_earthquacke_yes,all,hoh_gender
earthquacke_exposed_sector,all,region
earthquacke_exposed_sector,all,hh_situation
earthquacke_exposed_sector,all,i.hh_age
earthquacke_exposed_sector,all,hoh_gender
earthquacke_impacted_access_to_services,all,region
earthquacke_impacted_access_to_services,all,hh_situation
earthquacke_impacted_access_to_services,all,i.hh_age
earthquacke_impacted_access_to_services,all,hoh_gender
specifique_question,all,region
specifique_question,all,hh_situation
specifique_question,all,i.hh_age
specifique_question,all,hoh_gender
fem_health_fac_access_barriers,all,region
fem_health_fac_access_barriers,all,hh_situation
fem_health_fac_access_barriers,all,i.hh_age
fem_health_fac_access_barriers,all,hoh_gender
fem_unable_seek_health_cult_barriers,all,region
fem_unable_seek_health_cult_barriers,all,hh_situation
fem_unable_seek_health_cult_barriers,all,i.hh_age
fem_unable_seek_health_cult_barriers,all,hoh_gender
fem_unable_seek_health_cult_barriers_yes,all,region
fem_unable_seek_health_cult_barriers_yes,all,hh_situation
fem_unable_seek_health_cult_barriers_yes,all,i.hh_age
fem_unable_seek_health_cult_barriers_yes,all,hoh_gender
aware_of_health_services,all,region
aware_of_health_services,all,hh_situation
aware_of_health_services,all,i.hh_age
aware_of_health_services,all,hoh_gender
aware_of_health_services_yes,all,region
aware_of_health_services_yes,all,hh_situation
aware_of_health_services_yes,all,i.hh_age
aware_of_health_services_yes,all,hoh_gender
aware_of_health_services_no,all,region
aware_of_health_services_no,all,hh_situation
aware_of_health_services_no,all,i.hh_age
aware_of_health_services_no,all,hoh_gender
safety_security_risks,all,region
safety_security_risks,all,hh_situation
safety_security_risks,all,i.hh_age
