uuid,start_date,enumerator_id,region,type,name,current_value,value,issue_id,issue,other_text,checked_by,checked_date,comment,reviewed,adjust_log,so_sm_choices,sheet,index
761f85a5-1189-463d-8df3-dc79f6309606,2024-04-20T00:00:00Z,enum_19,ET05,change_response,cleaning_water_source,other,river,other_checks,,River,TKC,2024-04-22T00:00:00Z,,1,,piped_connection : borehole_manual : borehole_motorized : water_kiosk : public_tap : piped_system : hand_pump : water_trucking : storage_tank : protected_well : unprotected_well : protected_spring : unprotected_spring : other : dwta : dk,,
b2e666f1-d6ed-4b4c-9a37-2db5ceb3830d,2024-04-20T00:00:00Z,enum_19,ET05,change_response,drinking_water_source,other,river,other_checks,,River,TKC,2024-04-22T00:00:00Z,,1,,piped_into_dwelling : borehole_manual : borehole_motorized : water_kiosk : public_tap : piped_system : water_trucking : storage_tank : protected_well : unprotected_well : protected_spring : unprotected_spring : other : dwta : dk,,
b2e666f1-d6ed-4b4c-9a37-2db5ceb3830d,2024-04-20T00:00:00Z,enum_19,ET05,change_response,cleaning_water_source,other,river,other_checks,,River,TKC,2024-04-22T00:00:00Z,,1,,piped_connection : borehole_manual : borehole_motorized : water_kiosk : public_tap : piped_system : hand_pump : water_trucking : storage_tank : protected_well : unprotected_well : protected_spring : unprotected_spring : other : dwta : dk,,
d4e55c67-fa20-4940-994a-6f1660985300,2024-04-20T00:00:00Z,enum_07,ET05,change_response,drinking_water_source,other,river,other_checks,,River,TKC,2024-04-22T00:00:00Z,,1,,piped_into_dwelling : borehole_manual : borehole_motorized : water_kiosk : public_tap : piped_system : water_trucking : storage_tank : protected_well : unprotected_well : protected_spring : unprotected_spring : other : dwta : dk,,
d4e55c67-fa20-4940-994a-6f1660985300,2024-04-20T00:00:00Z,enum_07,ET05,change_response,cleaning_water_source,other,river,other_checks,,River,TKC,2024-04-22T00:00:00Z,,1,,piped_connection : borehole_manual : borehole_motorized : water_kiosk : public_tap : piped_system : hand_pump : water_trucking : storage_tank : protected_well : unprotected_well : protected_spring : unprotected_spring : other : dwta : dk,,
da5b8703-d971-42c5-96cd-888642a1b221,2024-04-20T00:00:00Z,enum_19,ET05,change_response,drinking_water_source,other,river,other_checks,,River,TKC,2024-04-22T00:00:00Z,,1,,piped_into_dwelling : borehole_manual : borehole_motorized : water_kiosk : public_tap : piped_system : water_trucking : storage_tank : protected_well : unprotected_well : protected_spring : unprotected_spring : other : dwta : dk,,
da5b8703-d971-42c5-96cd-888642a1b221,2024-04-20T00:00:00Z,enum_19,ET05,change_response,cleaning_water_source,other,river,other_checks,,River,TKC,2024-04-22T00:00:00Z,,1,,piped_connection : borehole_manual : borehole_motorized : water_kiosk : public_tap : piped_system : hand_pump : water_trucking : storage_tank : protected_well : unprotected_well : protected_spring : unprotected_spring : other : dwta : dk,,
dfc0516d-7646-4f53-80a5-b59ebb1fede8,2024-04-20T00:00:00Z,enum_19,ET05,change_response,drinking_water_source,other,river,other_checks,,River,TKC,2024-04-22T00:00:00Z,,1,,piped_into_dwelling : borehole_manual : borehole_motorized : water_kiosk : public_tap : piped_system : water_trucking : storage_tank : protected_well : unprotected_well : protected_spring : unprotected_spring : other : dwta : dk,,
dfc0516d-7646-4f53-80a5-b59ebb1fede8,2024-04-20T00:00:00Z,enum_19,ET05,change_response,cleaning_water_source,other,river,other_checks,,River,TKC,2024-04-22T00:00:00Z,,1,,piped_connection : borehole_manual : borehole_motorized : water_kiosk : public_tap : piped_system : hand_pump : water_trucking : storage_tank : protected_well : unprotected_well : protected_spring : unprotected_spring : other : dwta : dk,,
e0c11c43-2b8f-4949-b15b-6456c11a2c0c,2024-04-20T00:00:00Z,enum_19,ET05,change_response,drinking_water_source,other,river,other_checks,,River,TKC,2024-04-22T00:00:00Z,,1,,piped_into_dwelling : borehole_manual : borehole_motorized : water_kiosk : public_tap : piped_system : water_trucking : storage_tank : protected_well : unprotected_well : protected_spring : unprotected_spring : other : dwta : dk,,
e0c11c43-2b8f-4949-b15b-6456c11a2c0c,2024-04-20T00:00:00Z,enum_19,ET05,change_response,cleaning_water_source,other,river,other_checks,,River,TKC,2024-04-22T00:00:00Z,,1,,piped_connection : borehole_manual : borehole_motorized : water_kiosk : public_tap : piped_system : hand_pump : water_trucking : storage_tank : protected_well : unprotected_well : protected_spring : unprotected_spring : other : dwta : dk,,
ef872eb3-885b-4bf9-94f9-bea104bb9e60,2024-04-20T00:00:00Z,enum_18,ET05,change_response,drinking_water_source,other,river,other_checks,,River,TKC,2024-04-22T00:00:00Z,,1,,piped_into_dwelling : borehole_manual : borehole_motorized : water_kiosk : public_tap : piped_system : water_trucking : storage_tank : protected_well : unprotected_well : protected_spring : unprotected_spring : other : dwta : dk,,
ef872eb3-885b-4bf9-94f9-bea104bb9e60,2024-04-20T00:00:00Z,enum_18,ET05,change_response,cleaning_water_source,other,river,other_checks,,River,TKC,2024-04-22T00:00:00Z,,1,,piped_connection : borehole_manual : borehole_motorized : water_kiosk : public_tap : piped_system : hand_pump : water_trucking : storage_tank : protected_well : unprotected_well : protected_spring : unprotected_spring : other : dwta : dk,,
f4f67350-c28f-4223-a044-1389b1eaa452,2024-04-20T00:00:00Z,enum_19,ET05,change_response,drinking_water_source,other,river,other_checks,,River,TKC,2024-04-22T00:00:00Z,,1,,piped_into_dwelling : borehole_manual : borehole_motorized : water_kiosk : public_tap : piped_system : water_trucking : storage_tank : protected_well : unprotected_well : protected_spring : unprotected_spring : other : dwta : dk,,
f4f67350-c28f-4223-a044-1389b1eaa452,2024-04-20T00:00:00Z,enum_19,ET05,change_response,cleaning_water_source,other,river,other_checks,,River,TKC,2024-04-22T00:00:00Z,,1,,piped_connection : borehole_manual : borehole_motorized : water_kiosk : public_tap : piped_system : hand_pump : water_trucking : storage_tank : protected_well : unprotected_well : protected_spring : unprotected_spring : other : dwta : dk,,
